"latitude","quality_issues_other","has_quality_issues","water_point_photo","quality_issues_type","has_service_provider","current_problem","unavailable_period","has_water_committee","service_provider_type","households_count","submitted_date","problem_other_details","has_seasonal_variation","water_point_id","functional_status","longitude"
"-14.482268299999998","NA","No","https://api.mwater.co/v3/images/df6bc36b151d4379b9e686903ffad3d7","NA","Yes","NA","NA","No","Institution","0","19/04/2022","NA","No","354486497","FUNC","35.2701183"
"-14.4526599","NA","No","https://api.mwater.co/v3/images/a485d85cdae74feca1581eb22dd2fa6e","NA","Yes","Broken parts","NA","No","Institution","0","21/04/2022","NA","No","356187477","PARTIAL","35.243660299999995"
"-14.957576499999998","NA","Yes","https://api.mwater.co/v3/images/8f98dc1dfb7448b3bbf8063b6e9462fe","Taste ","No","NA","NA","No","NA","885","11/05/2022","NA","Unknown","356177494","FUNC","34.8964764"
"-14.941345999999998","NA","No","https://api.mwater.co/v3/images/7d69c6761e224bcc9965d4d98a54e457","NA","Yes","Broken parts, Worn out parts","NA","Yes","Area or Water Mechanic","820","13/05/2022","NA","No","28628765","PARTIAL","34.9178558"
"-15.03687314","NA","No","https://api.mwater.co/v3/images/9bb02f9712a54041b0431e2b539233d6","NA","Yes","Worn out parts, Broken parts, Structural problems - Civil works, apron, etc, Inadequate number of pipes, Low water flow - Low water pressure","NA","Yes","Unofficial/ Bush Mechanic","750","20/05/2022","NA","No","25197985","PARTIAL","34.92724198999999"
"-15.071638139999997","NA","No","https://api.mwater.co/v3/images/90e05c50e8c646aea7504ba02b445e6f","NA","Yes","Broken parts, Worn out parts","NA","Yes","Institution, Water Point Committee","900","31/05/2022","NA","No","21071218","PARTIAL","35.09064414"
"-15.0970964","NA","No","https://api.mwater.co/v3/images/87f4c4707cf84b48805700a48420f2ed","NA","Yes","NA","NA","Yes","Unofficial/ Bush Mechanic","1200","31/05/2022","NA","No","25202887","FUNC","35.1102011"
"-15.226284600000001","NA","No","https://api.mwater.co/v3/images/7917a54cef95444baf332038374fff40","NA","Yes","NA","NA","Yes","Area or Water Mechanic","520","03/06/2022","NA","No","356172176","FUNC","34.89171749999999"
"-14.370821699999997","NA","No","https://api.mwater.co/v3/images/70aa5f96c9a14d3daf36c562138e01a6","NA","Yes","Worn out parts, Low water flow - Low water pressure","NA","No","Unofficial/ Bush Mechanic","0","06/06/2022","NA","No","14665147","PARTIAL","35.4922683"
"-14.371221699999994","NA","No","https://api.mwater.co/v3/images/6bbedb0cbb7a40199c5b9c2f32a08047","NA","Yes","Worn out parts","NA","No","Unofficial/ Bush Mechanic","0","06/06/2022","NA","No","14665130","PARTIAL","35.492818299999996"
"-15.191681199999998","NA","No","https://api.mwater.co/v3/images/85a3667a108c47afa06262f2a5107800","NA","Yes","Structural problems - Civil works, apron, etc, Worn out parts, Other (please specify)","NA","Yes","Community members, Water Point Committee, Unofficial/ Bush Mechanic","1000","07/06/2022","Inadequate number of rods  and pipes","No","39317429","PARTIAL","34.926426899999996"
"-15.110646500000001","NA","No","https://api.mwater.co/v3/images/2ced94fff5294423b8fc769dc8d09dff","NA","Yes","NA","NA","Yes","Water Point Committee","590","21/06/2022","NA","No","356172279","FUNC","34.93542759999999"
