"water_point_id","inconsistency_reasons","functional_status","current_problem","has_quality_issues","has_service_provider"
"93854164","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"355641635","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356187185","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356187257","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"354332660","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"354332677","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"11585530","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"30604962","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"361150866","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"358063100","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"358063045","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"358063052","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"354486387","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354811141","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"47122640","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30156768","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"354811471","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356187367","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354332725","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"20800864","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"34249833","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356187398","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356187408","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30157350","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356187439","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"356174068","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"20817631","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356187446","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"354130301","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"354130325","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30157460","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"354130332","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30157532","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356173854","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"36576863","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"30157477","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"356188069","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"354811763","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"26839059","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356174783","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354130394","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28011756","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"358063461","Abandoned water point has operational data","ABANDONED","NA","NA","Unknown"
"354486851","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"356174817","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356174824","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354811811","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"35250076","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"22641199","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"361871398","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"12539523","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12533259","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28009908","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28009805","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354130545","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356174848","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"361871422","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"29361737","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12539554","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28010700","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"11839019","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"366737893","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356175571","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"35248369","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"48940393","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"29408357","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"48939838","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12534652","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28010841","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"12539554","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"11839019","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"5568646","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"35247760","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356175643","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"6977346","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356175667","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356175674","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30144343","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30148691","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354130600","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354130617","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356175526","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354487058","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"370485898","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30150102","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"6999249","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"34865594","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12515958","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12519299","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28010580","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354487247","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"24638672","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30150463","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"7560358","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28628796","Abandoned water point has operational data","ABANDONED","NA","NA","No"
