"water_point_id","quality_issues_other","has_quality_issues","water_point_photo","latitude","current_problem","unavailable_period","has_water_committee","service_provider_type","households_count","submitted_date","problem_other_details","has_seasonal_variation","longitude","functional_status","quality_issues_type","has_service_provider"
"36490583","","Yes","https://api.mwater.co/v3/images/e4619786467e4c0288dd6d903e87e7ac","-14.524071799999998","","","Yes ","Area or Water Mechanic, Water Point Committee","100","2022-04-06 06:52:53","","No","35.216227","Functional","Odor or Smell","Yes"
"13769064","","No","https://api.mwater.co/v3/images/65ab1a22b43f42fd9aab932bffa0b522","-15.806389199999998","Worn out parts","","","Community members","150","2022-04-06 07:21:44","","No","35.6458188","Partially functional but in need of repair","","Yes"
"30799145","","No","https://api.mwater.co/v3/images/3538fb45eb8a4be384319672b26033fa","-14.516638600000004","Broken parts, Inadequate number of pipes","","","Area or Water Mechanic","25","2022-04-06 07:34:42","","No","35.19822589999999","Partially functional but in need of repair","","Yes"
"356187082","","No","https://api.mwater.co/v3/images/5f8841c61d0a417584e287a79552059c","-14.518553499999996","Other (please specify)","","","Area or Water Mechanic","40","2022-04-06 08:03:44","Gashing out of Sand","No","35.200809299999996","Partially functional but in need of repair","","Yes"
"93854164","","","https://api.mwater.co/v3/images/d478cde198294b3fbbf1807f5902ffae","-14.523566","","","","","","2022-04-06 08:26:05","","","35.214689699999994","No longer exists or abandoned","","No"
"11577229","","No","https://api.mwater.co/v3/images/bfb331e0fd5645f79872f0ec26ac8467","-14.519617800000004","Broken parts, Low yield","","Yes ","Water Point Committee, Area or Water Mechanic","35","2022-04-06 08:32:50","","No","35.20115469999999","Partially functional but in need of repair","","Yes"
"356172406","","","https://api.mwater.co/v3/images/089662f72d324d2da29277d8825db005","-14.523866799999999","Worn out parts","","","Area or Water Mechanic","","2022-04-06 08:50:26","","","35.214308499999994","Not functional","","Yes"
"355068566","","No","https://api.mwater.co/v3/images/578c1567feff42c7b6d73874519b3c96","-14.523379200000004","","","","Area or Water Mechanic","25","2022-04-06 09:43:02","","No","35.2123047","Functional","","Yes"
"356187109","","No","https://api.mwater.co/v3/images/8a58d605796a49ae816550644f04bbcb","-14.522105200000002","","","","Area or Water Mechanic","20","2022-04-06 10:05:02","","No","35.20113949999999","Functional","","Yes"
"356147307","","No","https://api.mwater.co/v3/images/beebce75128440ceb1991a5e9f914139","-14.522643199999997","","","","Area or Water Mechanic","10","2022-04-06 10:23:45","","No","35.2018562","Functional","","Yes"
"11580418","","Yes","https://api.mwater.co/v3/images/7d96c11653164e30bdce7b68377925e7","-14.521903","Low water flow - Low water pressure, Worn out parts","","","Institution","20","2022-04-06 10:27:38","","No","35.2112058","Partially functional but in need of repair","Salinity or salty water","Yes"
